coc_id,year,field_id,class,manual_value,auto_value,source_page,reason
CA-506,2024,1b_1_23_voted,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_23_ces,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_24_meetings,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_24_voted,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_24_ces,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_25_meetings,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_25_voted,A_categorical,,No,4,manual_blank
CA-506,2024,1b_1_25_ces,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_26_meetings,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_26_voted,A_categorical,,No,4,manual_blank
CA-506,2024,1b_1_26_ces,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_27_meetings,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_27_voted,A_categorical,,No,4,manual_blank
CA-506,2024,1b_1_27_ces,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_28_meetings,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_28_voted,A_categorical,,No,4,manual_blank
CA-506,2024,1b_1_28_ces,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_29_meetings,A_categorical,,No,4,manual_blank
CA-506,2024,1b_1_29_voted,A_categorical,,No,4,manual_blank
CA-506,2024,1b_1_29_ces,A_categorical,,No,4,manual_blank
CA-506,2024,1b_1_30_meetings,A_categorical,,No,4,manual_blank
CA-506,2024,1b_1_30_voted,A_categorical,,No,4,manual_blank
CA-506,2024,1b_1_30_ces,A_categorical,,No,4,manual_blank
CA-506,2024,1b_1_31_meetings,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_31_voted,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_31_ces,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_32_meetings,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_32_voted,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_32_ces,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_33_meetings,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_33_voted,A_categorical,,Yes,4,manual_blank
CA-506,2024,1b_1_33_ces,A_categorical,,Yes,4,manual_blank
CA-506,2024,1c_1_1,A_categorical,,Yes,9,manual_blank
CA-506,2024,1c_1_2,A_categorical,,No,9,manual_blank
CA-506,2024,1c_1_3,A_categorical,,Yes,9,manual_blank
CA-506,2024,1c_1_4,A_categorical,,Yes,9,manual_blank
CA-506,2024,1c_1_5,A_categorical,,Yes,9,manual_blank
CA-506,2024,1c_1_6,A_categorical,,Yes,9,manual_blank
CA-506,2024,1c_1_7,A_categorical,,Yes,9,manual_blank
CA-506,2024,1c_1_8,A_categorical,,Yes,9,manual_blank
CA-506,2024,1c_1_9,A_categorical,,Yes,9,manual_blank
CA-506,2024,1c_1_10,A_categorical,,Nonexistent,9,manual_blank
CA-506,2024,1c_1_11,A_categorical,,Yes,9,manual_blank
CA-506,2024,1c_1_12,A_categorical,,Yes,9,manual_blank
CA-506,2024,1c_1_13,A_categorical,,Yes,9,manual_blank
CA-506,2024,1c_1_14,A_categorical,,Yes,9,manual_blank
CA-506,2024,1c_1_15,A_categorical,,Yes,9,manual_blank
CA-506,2024,1c_1_16,A_categorical,,Nonexistent,9,manual_blank
CA-506,2024,1c_1_17,A_categorical,,Yes,9,manual_blank
CA-506,2024,1c_2_1,A_categorical,,Yes,10,manual_blank
CA-506,2024,1c_2_2,A_categorical,,Yes,10,manual_blank
CA-506,2024,1c_2_3,A_categorical,,Yes,10,manual_blank
CA-506,2024,1c_2_4,A_categorical,,Yes,10,manual_blank
CA-506,2024,1c_3_1,A_categorical,,Yes,10,manual_blank
CA-506,2024,1c_3_2,A_categorical,,No,10,manual_blank
CA-506,2024,1c_3_3,A_categorical,,Yes,10,manual_blank
CA-506,2024,1c_3_4,A_categorical,,Yes,10,manual_blank
CA-506,2024,1c_3_5,A_categorical,,Yes,10,manual_blank
CA-506,2024,1d_1_1,A_categorical,,Yes,23,manual_blank
CA-506,2024,1d_1_2,A_categorical,,Yes,23,manual_blank
CA-506,2024,1d_1_3,A_categorical,,Yes,23,manual_blank
CA-506,2024,1d_1_4,A_categorical,,Yes,23,manual_blank
CA-506,2024,1d_2_1,B_integer,,18.0,23,manual_blank
CA-506,2024,1d_2_2,B_integer,,17.0,23,manual_blank
CA-506,2024,1d_2_3,B_percent,,0.94,23,manual_blank
CA-506,2024,1d_4_1_policymakers,A_categorical,,Yes,25,manual_blank
CA-506,2024,1d_4_1_prevent_crim,A_categorical,,Yes,25,manual_blank
CA-506,2024,1d_4_2_policymakers,A_categorical,,Yes,25,manual_blank
CA-506,2024,1d_4_2_prevent_crim,A_categorical,,No,25,manual_blank
CA-506,2024,1d_4_3_policymakers,A_categorical,,Yes,25,manual_blank
CA-506,2024,1d_4_3_prevent_crim,A_categorical,,No,25,manual_blank
CA-506,2024,1d_6_1,A_categorical,,Yes,26,manual_blank
CA-506,2024,1d_6_2,A_categorical,,Yes,26,manual_blank
CA-506,2024,1d_6_3,A_categorical,,Yes,26,manual_blank
CA-506,2024,1d_6_4,A_categorical,,Yes,26,manual_blank
CA-506,2024,1d_6_5,A_categorical,,Yes,26,manual_blank
CA-506,2024,1d_6_6,A_categorical,,Yes,26,manual_blank
CA-506,2024,1d_9b_1,A_categorical,,Yes,33,manual_blank
CA-506,2024,1d_9b_2,A_categorical,,Yes,33,manual_blank
CA-506,2024,1d_9b_3,A_categorical,,Yes,33,manual_blank
CA-506,2024,1d_9b_4,A_categorical,,Yes,33,manual_blank
CA-506,2024,1d_9b_5,A_categorical,,Yes,33,manual_blank
CA-506,2024,1d_9b_6,A_categorical,,Yes,34,manual_blank
CA-506,2024,1d_9b_7,A_categorical,,Yes,34,manual_blank
CA-506,2024,1d_9b_8,A_categorical,,Yes,34,manual_blank
CA-506,2024,1d_9b_9,A_categorical,,Yes,34,manual_blank
CA-506,2024,1d_9b_10,A_categorical,,Yes,34,manual_blank
CA-506,2024,1d_9b_11,A_categorical,,Yes,34,manual_blank
CA-506,2024,1c_4c_1_mou,A_categorical,,No,12,manual_blank
CA-506,2024,1c_4c_1_oth,A_categorical,,No,12,manual_blank
CA-506,2024,1c_4c_2_mou,A_categorical,,No,12,manual_blank
CA-506,2024,1c_4c_2_oth,A_categorical,,Yes,12,manual_blank
CA-506,2024,1c_4c_3_mou,A_categorical,,No,12,manual_blank
CA-506,2024,1c_4c_3_oth,A_categorical,,Yes,12,manual_blank
CA-506,2024,1c_4c_4_mou,A_categorical,,No,12,manual_blank
CA-506,2024,1c_4c_4_oth,A_categorical,,No,12,manual_blank
CA-506,2024,1c_4c_5_mou,A_categorical,,Yes,12,manual_blank
CA-506,2024,1c_4c_5_oth,A_categorical,,No,12,manual_blank
CA-506,2024,1c_4c_6_mou,A_categorical,,No,12,manual_blank
CA-506,2024,1c_4c_6_oth,A_categorical,,No,12,manual_blank
CA-506,2024,1c_4c_7_mou,A_categorical,,No,12,manual_blank
CA-506,2024,1c_4c_7_oth,A_categorical,,No,12,manual_blank
CA-506,2024,1c_4c_8_mou,A_categorical,,No,12,manual_blank
CA-506,2024,1c_4c_8_oth,A_categorical,,No,12,manual_blank
CA-506,2024,1c_4c_9_mou,A_categorical,,No,12,manual_blank
CA-506,2024,1c_4c_9_oth,A_categorical,,No,12,manual_blank
CA-506,2024,1c_5c_1_proj,A_categorical,,Yes,14,manual_blank
CA-506,2024,1c_5c_1_ces,A_categorical,,Yes,14,manual_blank
CA-506,2024,1c_5c_2_proj,A_categorical,,Yes,14,manual_blank
CA-506,2024,1c_5c_2_ces,A_categorical,,Yes,14,manual_blank
CA-506,2024,1c_5c_3_proj,A_categorical,,Yes,14,manual_blank
CA-506,2024,1c_5c_3_ces,A_categorical,,Yes,14,manual_blank
CA-506,2024,1c_5c_4_proj,A_categorical,,Yes,15,manual_blank
CA-506,2024,1c_5c_4_ces,A_categorical,,Yes,15,manual_blank
CA-506,2024,1c_5c_5_proj,A_categorical,,Yes,15,manual_blank
CA-506,2024,1c_5c_5_ces,A_categorical,,Yes,15,manual_blank
CA-506,2024,1c_5c_6_proj,A_categorical,,Yes,15,manual_blank
CA-506,2024,1c_5c_6_ces,A_categorical,,Yes,15,manual_blank
CA-506,2024,1c_7c_1,A_categorical,,Yes,21,manual_blank
CA-506,2024,1c_7c_2,A_categorical,,No,21,manual_blank
CA-506,2024,1c_7c_3,A_categorical,,Yes,21,manual_blank
CA-506,2024,1c_7c_4,A_categorical,,No,21,manual_blank
CA-506,2024,1c_7c_5,A_categorical,,No,21,manual_blank
CA-506,2024,1c_7c_6,A_categorical,,No,21,manual_blank
CA-506,2024,1c_7c_7,A_categorical,,No,21,manual_blank
CA-506,2024,1d_10a_1_years,B_integer,,10,37,manual_blank
CA-506,2024,1d_10a_1_unsheltered,B_integer,,1,37,manual_blank
CA-506,2024,1d_10a_2_years,B_integer,,10,37,manual_blank
CA-506,2024,1d_10a_2_unsheltered,B_integer,,1,37,manual_blank
CA-506,2024,1d_10a_3_years,B_integer,,2,37,manual_blank
CA-506,2024,1d_10a_3_unsheltered,B_integer,,1,37,manual_blank
CA-506,2024,1d_10a_4_years,B_integer,,3,37,manual_blank
CA-506,2024,1d_10a_4_unsheltered,B_integer,,1,37,manual_blank
CA-506,2024,2a_5_1_non_vsp,B_integer,,683,48,manual_blank
CA-506,2024,2a_5_1_vsp,B_integer,,201,48,manual_blank
CA-506,2024,2a_5_1_hmis,B_integer,,482,48,manual_blank
CA-506,2024,2a_5_1_coverage,B_percent,,0.75,48,manual_blank
CA-506,2024,2a_5_2_non_vsp,B_integer,,0,48,manual_blank
CA-506,2024,2a_5_2_vsp,B_integer,,0,48,manual_blank
CA-506,2024,2a_5_2_hmis,B_integer,,0,48,manual_blank
CA-506,2024,2a_5_2_coverage,B_percent,,0.0,48,manual_blank
CA-506,2024,2a_5_3_non_vsp,B_integer,,198,48,manual_blank
CA-506,2024,2a_5_3_vsp,B_integer,,46,48,manual_blank
CA-506,2024,2a_5_3_hmis,B_integer,,152,48,manual_blank
CA-506,2024,2a_5_3_coverage,B_percent,,0.71,48,manual_blank
CA-506,2024,2a_5_4_non_vsp,B_integer,,120,48,manual_blank
CA-506,2024,2a_5_4_vsp,B_integer,,0,48,manual_blank
CA-506,2024,2a_5_4_hmis,B_integer,,120,48,manual_blank
CA-506,2024,2a_5_4_coverage,B_percent,,1.0,48,manual_blank
CA-506,2024,2a_5_5_non_vsp,B_integer,,494,48,manual_blank
CA-506,2024,2a_5_5_vsp,B_integer,,172,48,manual_blank
CA-506,2024,2a_5_5_hmis,B_integer,,322,48,manual_blank
CA-506,2024,2a_5_5_coverage,B_percent,,0.86,48,manual_blank
CA-506,2024,2a_5_6_non_vsp,B_integer,,0,48,manual_blank
CA-506,2024,2a_5_6_vsp,B_integer,,0,48,manual_blank
CA-506,2024,2a_5_6_hmis,B_integer,,0,48,manual_blank
CA-506,2024,2a_5_6_coverage,B_percent,,0.0,48,manual_blank
CA-506,2024,1c_4_1,A_categorical,,Yes,10,manual_blank
CA-506,2024,1c_4_2,A_categorical,,No,10,manual_blank
CA-506,2024,1c_4_3,A_categorical,,Yes,10,manual_blank
CA-506,2024,1c_4_4,A_categorical,,Yes,10,manual_blank
CA-506,2024,1c_5_1,A_categorical,,Yes,13,manual_blank
CA-506,2024,1c_5_2,A_categorical,,No,13,manual_blank
CA-506,2024,1c_5_3,A_categorical,,Yes,13,manual_blank
CA-506,2024,1d_9_1,A_categorical,,Yes,32,manual_blank
CA-506,2024,2a_6,A_categorical,,Yes,49,manual_blank
CA-506,2024,3a_1,A_categorical,,Yes,60,manual_blank
CA-506,2024,3a_2,A_categorical,,Yes,60,manual_blank
CA-506,2024,3c_1,A_categorical,,No,63,manual_blank
CA-506,2024,4a_1,A_categorical,,Yes,64,manual_blank
CA-507,2024,1b_1_7_ces,A_categorical,No,Yes,3,manual='No'/auto='Yes'
CA-509,2024,1b_1_21_ces,A_categorical,Yes,No,4,manual='Yes'/auto='No'
CA-510,2024,1d_9b_6,A_categorical,Yes,No,26,manual='Yes'/auto='No'
CA-512,2024,1b_1_4_ces,A_categorical,No,Yes,3,manual='No'/auto='Yes'
CA-512,2024,1b_1_5_voted,A_categorical,No,Yes,3,manual='No'/auto='Yes'
CA-512,2024,1b_1_5_ces,A_categorical,No,Yes,3,manual='No'/auto='Yes'
CA-512,2024,1b_1_7_ces,A_categorical,No,Yes,3,manual='No'/auto='Yes'
CA-512,2024,1d_6_5,A_categorical,Yes,No,27,manual='Yes'/auto='No'
CA-512,2024,1d_9b_6,A_categorical,Yes,No,35,manual='Yes'/auto='No'
CA-515,2024,1a_2,C_label,Homeless Resource Councicl of the Sierras,Homeless Resource Council of the Sierras,2,manual='homeless resource councicl of the sierras'/auto='homeless resource council of the sierras'
CA-515,2024,2a_6,A_categorical,Yes,,,auto_blank
CA-516,2024,1d_9b_7,A_categorical,Yes,No,33,manual='Yes'/auto='No'
CA-516,2024,1d_9_1,A_categorical,Yes,,,auto_blank
CA-517,2024,1a_1b,C_label,Napa City and County CoC,Napa City & County CoC,2,manual='napa city and county coc'/auto='napa city & county coc'
CA-517,2024,1d_9_1,A_categorical,Yes,,,auto_blank
CA-519,2024,1b_1_11_ces,A_categorical,Yes,No,2,manual='Yes'/auto='No'
CA-519,2024,2a_6,A_categorical,Yes,No,59,manual='Yes'/auto='No'
CA-521,2024,1b_1_1_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_1_voted,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_1_ces,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_2_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_2_voted,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_2_ces,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_3_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_3_voted,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_3_ces,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_4_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_4_voted,A_categorical,Y,,,auto_blank
CA-521,2024,1b_1_4_ces,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_5_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_5_voted,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_5_ces,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_6_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_6_voted,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_6_ces,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_7_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_7_voted,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_7_ces,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_8_meetings,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_8_voted,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_8_ces,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_9_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_9_voted,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_9_ces,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_10_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_10_voted,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_10_ces,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_11_meetings,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_11_voted,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_11_ces,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_12_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_12_voted,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_12_ces,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_13_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_13_voted,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_13_ces,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_14_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_14_voted,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_14_ces,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_15_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_15_voted,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_15_ces,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_16_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_16_voted,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_16_ces,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_17_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_17_voted,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_17_ces,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_18_meetings,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_18_voted,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_18_ces,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_19_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_19_voted,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_19_ces,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_20_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_20_voted,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_20_ces,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_21_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_21_voted,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_21_ces,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_22_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_22_voted,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_22_ces,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_23_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_23_voted,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_23_ces,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_24_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_24_voted,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_24_ces,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_25_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_25_voted,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_25_ces,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_26_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_26_voted,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_26_ces,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_27_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_27_voted,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_27_ces,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_28_meetings,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_28_voted,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_28_ces,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_29_meetings,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_29_voted,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_29_ces,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_30_meetings,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_30_voted,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_30_ces,A_categorical,No,,,auto_blank
CA-521,2024,1b_1_31_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_31_voted,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_31_ces,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_32_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_32_voted,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_32_ces,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_33_meetings,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_33_voted,A_categorical,Yes,,,auto_blank
CA-521,2024,1b_1_33_ces,A_categorical,Yes,,,auto_blank
CA-523,2024,1d_10a_2_years,B_integer,`,1,30,cast_fail manual='`'/auto=1
CA-523,2024,2a_6,A_categorical,Yes,No,56,manual='Yes'/auto='No'
CA-524,2024,2a_6,A_categorical,,No,60,manual_blank
CA-526,2024,1a_2,C_label,Amador-Tuolumne Community Action Agency,Amador Tuolumne Community Action Agency,2,manual='amador-tuolumne community action agency'/auto='amador tuolumne community action agency'
CA-526,2024,1a_4,C_label,Amador-Tuolumne Community Action Agency,Amador Tuolumne Community Action Agency,2,manual='amador-tuolumne community action agency'/auto='amador tuolumne community action agency'
CA-527,2024,1b_1_17_meetings,A_categorical,N o,No,4,manual='N o'/auto='No'
CA-529,2024,1b_1_2_ces,A_categorical,,Yes,3,manual_blank
CA-529,2024,1b_1_3_meetings,A_categorical,,Yes,3,manual_blank
CA-529,2024,1b_1_3_voted,A_categorical,,Yes,3,manual_blank
